id_plantel,cantidad_jugadores
1729-2014/2015-8472,24
1729-2014/2015-8654,22
1729-2015/2016-8472,29
4769-2008/2009-7819,21
4769-2008/2009-9855,26
4769-2008/2009-9829,31
4769-2009/2010-10249,19
4769-2009/2010-9851,22
4769-2010/2011-8583,23
4769-2010/2011-8639,20
4769-2010/2011-10249,22
13274-2012/2013-8593,27
13274-2014/2015-6413,19
13274-2015/2016-6413,21
15722-2009/2010-1957,13
15722-2010/2011-8021,13
15722-2013/2014-1957,26
15722-2015/2016-177361,28
17642-2008/2009-9773,20
17642-2009/2010-9772,23
17642-2011/2012-2033,24
19694-2010/2011-8485,27
19694-2012/2013-9925,26
19694-2014/2015-9938,24
19694-2015/2016-8284,22
21518-2009/2010-8558,24
21518-2009/2010-9865,20
21518-2010/2011-8305,23
21518-2011/2012-8603,27
21518-2011/2012-8370,25
21518-2013/2014-8305,26
21518-2014/2015-9783,25
24558-2008/2009-9930,16
24558-2015/2016-10191,26
1-2008/2009-9991,19
1-2008/2009-9984,17
1-2009/2010-9997,16
1-2010/2011-8342,21
1-2011/2012-9997,22
1-2012/2013-8571,21
1-2012/2013-8203,25
1-2012/2013-9991,32
1-2014/2015-9987,26
1729-2009/2010-8602,28
1729-2010/2011-8483,27
1729-2011/2012-10261,24
1729-2012/2013-9825,23
4769-2008/2009-8592,23
4769-2009/2010-8588,21
4769-2009/2010-9829,25
4769-2009/2010-4170,31
15722-2010/2011-2183,18
15722-2012/2013-8023,14
15722-2014/2015-8025,22
17642-2010/2011-9771,25
17642-2010/2011-7841,22
17642-2013/2014-9807,25
19694-2009/2010-9860,29
21518-2008/2009-8633,24
21518-2009/2010-8302,28
21518-2010/2011-10278,23
4769-2009/2010-8592,21
4769-2010/2011-8588,28
4769-2010/2011-9847,21
4769-2011/2012-8689,30
4769-2012/2013-10242,22
4769-2012/2013-9831,27
4769-2015/2016-8121,26
4769-2015/2016-7794,24
7809-2011/2012-10189,26
7809-2015/2016-9904,31
10257-2009/2010-8529,24
10257-2012/2013-8551,34
10257-2013/2014-8535,28
13274-2009/2010-8525,24
13274-2009/2010-8277,25
13274-2012/2013-9908,24
13274-2012/2013-9803,21
15722-2008/2009-8569,6
15722-2010/2011-8245,17
15722-2010/2011-8031,9
15722-2010/2011-8673,13
15722-2012/2013-8245,18
15722-2015/2016-8019,26
17642-2011/2012-10264,26
19694-2009/2010-9925,34
19694-2013/2014-8597,32
1729-2015/2016-8197,19
4769-2008/2009-9851,21
4769-2008/2009-9853,24
4769-2010/2011-8521,21
4769-2014/2015-8592,19
4769-2015/2016-9830,25
4769-2015/2016-7819,22
7809-2009/2010-8722,22
7809-2012/2013-8357,30
7809-2014/2015-8226,21
10257-2011/2012-8540,29
21518-2009/2010-9867,19
21518-2011/2012-8696,29
21518-2013/2014-8633,23
21518-2015/2016-9869,24
24558-2011/2012-10243,31
24558-2012/2013-10192,28
24558-2012/2013-10179,29
1-2009/2010-8342,24
1-2010/2011-8635,23
1-2010/2011-9993,25
1-2010/2011-9985,29
1-2015/2016-8635,25
1729-2008/2009-8654,26
1729-2008/2009-10261,27
1729-2009/2010-8586,26
1729-2011/2012-8456,21
10257-2013/2014-10167,25
13274-2008/2009-8611,19
15722-2008/2009-2186,6
15722-2012/2013-8024,16
15722-2013/2014-8027,22
15722-2015/2016-10265,25
1729-2013/2014-8659,26
1729-2015/2016-9825,24
1729-2015/2016-10252,25
4769-2011/2012-8481,28
10257-2008/2009-8564,23
13274-2010/2011-10228,23
17642-2013/2014-9772,28
17642-2014/2015-158085,23
21518-2008/2009-9783,25
21518-2009/2010-8696,25
21518-2011/2012-8302,24
21518-2014/2015-8633,22
21518-2015/2016-9906,24
1-2008/2009-7947,13
1-2008/2009-8203,17
1-2009/2010-9999,18
1-2009/2010-9991,20
1-2009/2010-8571,19
1729-2008/2009-8650,23
1-2008/2009-9996,13
1729-2008/2009-8549,24
1729-2012/2013-9850,25
1-2008/2009-8635,20
17642-2008/2009-9772,21
1-2010/2011-8203,21
1-2015/2016-10001,22
1729-2010/2011-8472,24
1729-2013/2014-9879,34
4769-2008/2009-9873,22
17642-2013/2014-10238,24
21518-2010/2011-8661,24
17642-2014/2015-7844,28
7809-2009/2010-9905,24
17642-2008/2009-9768,22
1-2008/2009-10000,17
4769-2010/2011-9874,22
10257-2015/2016-8600,28
15722-2009/2010-8021,8
1729-2013/2014-8466,22
13274-2010/2011-9791,18
7809-2012/2013-8178,19
15722-2015/2016-2186,22
15722-2008/2009-8030,4
4769-2013/2014-8689,24
4769-2014/2015-9831,26
4769-2014/2015-8588,24
4769-2014/2015-9829,25
4769-2015/2016-8689,28
4769-2015/2016-6391,23
4769-2015/2016-9853,27
7809-2008/2009-8295,25
7809-2009/2010-8358,25
7809-2010/2011-9810,24
7809-2010/2011-8350,23
7809-2010/2011-8697,24
7809-2010/2011-8178,20
7809-2011/2012-8350,28
7809-2011/2012-9823,21
7809-2011/2012-8722,21
7809-2011/2012-9788,18
7809-2011/2012-8226,24
7809-2011/2012-9790,24
7809-2011/2012-8721,31
7809-2011/2012-8165,27
7809-2012/2013-10189,24
7809-2012/2013-9789,22
7809-2014/2015-8358,24
7809-2014/2015-8406,23
7809-2014/2015-8178,20
7809-2014/2015-9904,23
7809-2015/2016-8234,23
7809-2015/2016-8226,24
10257-2008/2009-8636,25
10257-2008/2009-8600,24
10257-2008/2009-8530,26
10257-2008/2009-8686,24
10257-2009/2010-9885,27
10257-2009/2010-9857,27
10257-2009/2010-8530,26
10257-2009/2010-9875,21
10257-2009/2010-9882,23
10257-2010/2011-8636,27
10257-2010/2011-9888,26
10257-2010/2011-8530,29
10257-2010/2011-8543,24
10257-2011/2012-9885,25
10257-2012/2013-10167,26
10257-2012/2013-8533,31
10257-2012/2013-8530,22
10257-2012/2013-9857,27
10257-2013/2014-9875,25
10257-2013/2014-9882,26
10257-2014/2015-8543,27
10257-2014/2015-8535,28
10257-2014/2015-9876,29
10257-2015/2016-7943,25
10257-2015/2016-9882,29
10257-2015/2016-8534,28
13274-2008/2009-8526,14
13274-2009/2010-8614,24
13274-2009/2010-8611,17
13274-2009/2010-9761,19
13274-2010/2011-9908,26
13274-2011/2012-8674,23
13274-2011/2012-10229,19
13274-2012/2013-8277,20
13274-2013/2014-9791,24
13274-2014/2015-8674,21
13274-2014/2015-10235,23
13274-2014/2015-10217,20
13274-2014/2015-8525,20
15722-2011/2012-8245,15
15722-2013/2014-8025,27
15722-2013/2014-1601,22
15722-2013/2014-8033,27
15722-2014/2015-2186,24
15722-2015/2016-1601,21
17642-2009/2010-9771,21
17642-2010/2011-7844,25
17642-2010/2011-2033,26
17642-2010/2011-10211,21
17642-2011/2012-9768,30
17642-2011/2012-7844,25
17642-2011/2012-7841,22
17642-2012/2013-10238,24
17642-2012/2013-10211,23
17642-2012/2013-10215,22
17642-2013/2014-7841,29
17642-2014/2015-6547,23
17642-2015/2016-9768,26
17642-2015/2016-10212,30
19694-2008/2009-8597,24
19694-2008/2009-8429,24
19694-2008/2009-9927,21
19694-2010/2011-10251,33
19694-2010/2011-9927,23
19694-2011/2012-9925,27
19694-2011/2012-8066,28
19694-2012/2013-8467,20
19694-2014/2015-8284,26
19694-2015/2016-9860,26
19694-2015/2016-8429,26
21518-2008/2009-8661,22
21518-2009/2010-10267,26
21518-2009/2010-8661,20
21518-2009/2010-10205,23
21518-2010/2011-10205,23
21518-2010/2011-8558,23
